Hue,Saturation,Brightness,Hex
0,100,100,#FF0000
1,100,100,#FF0400
2,100,100,#FF0800
3,100,100,#FF0D00
4,100,100,#FF1100
5,100,100,#FF1500
6,100,100,#FF1900
7,100,100,#FF1E00
8,100,100,#FF2200
9,100,100,#FF2600
10,100,100,#FF2A00
11,100,100,#FF2F00
12,100,100,#FF3300
13,100,100,#FF3700
14,100,100,#FF3C00
15,100,100,#FF4000
16,100,100,#FF4400
17,100,100,#FF4800
18,100,100,#FF4D00
19,100,100,#FF5100
20,100,100,#FF5500
21,100,100,#FF5900
22,100,100,#FF5E00
23,100,100,#FF6200
24,100,100,#FF6600
25,100,100,#FF6A00
26,100,100,#FF6F00
27,100,100,#FF7300
28,100,100,#FF7700
29,100,100,#FF7B00
30,100,100,#FF8000
31,100,100,#FF8400
32,100,100,#FF8800
33,100,100,#FF8C00
34,100,100,#FF9100
35,100,100,#FF9500
36,100,100,#FF9900
37,100,100,#FF9D00
38,100,100,#FFA200
